Place,Month,Users,Gender,Alcohol,Result
DONEGAL,October,Car,male,no,Killed
LEITRIM,March,Car,male,no,Injured
KERRY,September,Car,female,no,Injured
WESTMEATH,October,Pedestrians,female,yes,Injured
DUBLIN,April,Car,male,yes,Injured
CORK,August,Car,female,no,Injured
MAYO,July,Car,male,no,Injured
MEATH,February,Pedestrians,female,yes,Injured
WATERFORD,November,Car,male,no,Injured
WESTMEATH,December,Cyclists,male,no,Injured
CAVAN,August,Car,female,no,Injured
DUBLIN,October,Car,female,no,Injured
LAOIS,June,Car,male,no,Injured
WEXFORD,March,Cyclists,male,no,Injured
WEXFORD,July,Car,female,yes,Injured
KILDARE,March,Car,female,no,Injured
WESTMEATH,April,Motorbike,male,yes,Injured
LIMERICK COUNTY,November,Motorbike,male,no,Injured
DUBLIN,November,Cyclists,male,no,Injured
GALWAY,July,Pedestrians,female,yes,Injured
KILKENNY,October,Car,female,no,Injured
KILDARE,May,Car,female,no,Injured
WESTMEATH,August,Cyclists,male,no,Injured
WESTMEATH,February,Car,male,no,Injured
DUBLIN,July,Car,male,no,Injured
WEXFORD,August,Car,female,no,Injured
CORK,January,Car,female,yes,Injured
CORK,May,Car,female,yes,Injured
CORK,October,Car,female,no,Injured
GALWAY,December,Car,female,no,Injured
CAVAN,March,Car,male,yes,Injured
WEXFORD,June,Car,male,yes,Injured
ROSCOMMON,September,Cyclists,male,no,Injured
CAVAN,September,Car,male,no,Injured
CORK,December,Motorbike,female,no,Injured
DUBLIN,April,Car,female,no,Injured
CORK,March,Cyclists,male,no,Injured
OFFALY,March,Car,female,no,Injured
DUBLIN,August,Car,female,yes,Injured
WEXFORD,February,Car,male,yes,Injured
KILDARE,May,Car,male,no,Injured
TIPPERARY,April,Car,female,yes,Injured
SLIGO,March,Car,female,no,Injured
WATERFORD,December,Car,female,no,Injured
GALWAY,July,Cyclists,male,no,Injured
KERRY,January,Car,male,no,Injured
MONAGHAN,December,Car,female,no,Injured
DUBLIN,September,Car,female,no,Injured
GALWAY,November,Cyclists,male,no,Injured
KILKENNY,December,Car,female,no,Injured
CAVAN,January,Car,female,no,Injured
KILDARE,October,Car,female,no,Injured
DUBLIN,September,Pedestrians,male,yes,Injured
OFFALY,October,Motorbike,female,no,Injured
DUBLIN,June,Motorbike,male,no,Injured
WATERFORD,September,Pedestrians,male,yes,Injured
KILDARE,April,Car,male,no,Injured
DONEGAL,December,Car,female,no,Injured
MEATH,June,Car,female,no,Injured
KILKENNY,June,Car,female,no,Injured
CLARE,May,Pedestrians,female,no,Injured
DUBLIN,June,Car,female,yes,Injured
LIMERICK COUNTY,March,Car,female,no,Injured
WESTMEATH,July,Cyclists,female,no,Injured
CARLOW,April,Car,female,no,Injured
WICKLOW,April,Car,male,yes,Injured
DUBLIN,February,Car,female,no,Injured
WICKLOW,August,Pedestrians,female,no,Injured
KILKENNY,March,Car,male,no,Injured
ROSCOMMON,June,Motorbike,male,yes,Injured
KILDARE,November,Car,male,no,Injured
LAOIS,March,Cyclists,male,yes,Injured
DUBLIN,December,Pedestrians,male,no,Injured
KILDARE,January,Car,female,yes,Injured
MEATH,December,Car,male,no,Injured
TIPPERARY,May,Car,female,no,Injured
MEATH,November,Car,male,no,Injured
LOUTH,October,Cyclists,male,no,Injured
TIPPERARY,January,Car,female,yes,Injured
DUBLIN,August,Car,female,no,Injured
LIMERICK COUNTY,May,Motorbike,male,no,Injured
DUBLIN,September,Cyclists,female,yes,Injured
DUBLIN,September,Motorbike,female,yes,Injured
DUBLIN,May,Pedestrians,female,no,Killed
DUBLIN,October,Car,male,yes,Injured
DUBLIN,March,Motorbike,male,no,Injured
LAOIS,March,Car,male,yes,Injured
DUBLIN,January,Car,male,no,Killed
WICKLOW,April,Car,female,yes,Injured
LIMERICK COUNTY,October,Car,male,yes,Injured
DONEGAL,July,Car,female,no,Injured
DUBLIN,April,Car,female,no,Injured
DUBLIN,March,Car,female,no,Injured
MONAGHAN,December,Car,male,yes,Injured
TIPPERARY,May,Car,male,no,Injured
WATERFORD,June,Car,female,yes,Injured
LIMERICK COUNTY,February,Cyclists,female,no,Injured
DUBLIN,December,Car,female,no,Injured
DUBLIN,April,Car,female,no,Injured
TIPPERARY,November,Cyclists,female,no,Injured
KERRY,April,Car,male,no,Injured
MONAGHAN,December,Pedestrians,male,yes,Injured
KILDARE,June,Car,male,no,Injured
MAYO,February,Car,male,yes,Injured
KERRY,October,Car,female,yes,Injured
MEATH,November,Cyclists,female,no,Injured
KILDARE,January,Car,female,no,Injured
GALWAY,September,Car,male,no,Killed
DUBLIN,November,Car,male,no,Injured
CORK,June,Cyclists,female,yes,Injured
DUBLIN,January,Pedestrians,male,yes,Killed
CORK,June,Pedestrians,male,no,Injured
WICKLOW,June,Car,male,no,Injured
DONEGAL,November,Car,male,no,Injured
OFFALY,December,Car,male,yes,Injured
TIPPERARY,March,Pedestrians,female,yes,Injured
LONGFORD,September,Pedestrians,female,no,Injured
KILDARE,November,Car,male,yes,Injured
CORK,July,Motorbike,male,no,Injured
GALWAY,October,Car,female,yes,Killed
DUBLIN,August,Car,male,no,Injured
DUBLIN,July,Pedestrians,female,no,Injured
KILDARE,August,Pedestrians,female,no,Injured
DUBLIN,October,Car,male,no,Injured
WESTMEATH,June,Motorbike,female,yes,Injured
WATERFORD,August,Car,male,yes,Injured
DUBLIN,January,Car,female,no,Injured
CORK,December,Car,male,no,Injured
DONEGAL,February,Car,male,no,Injured
GALWAY,November,Car,male,no,Injured
MAYO,January,Car,male,yes,Injured
DONEGAL,June,Car,female,yes,Injured
DUBLIN,November,Motorbike,male,no,Injured
SLIGO,May,Car,female,no,Injured
DUBLIN,August,Pedestrians,female,no,Injured
LAOIS,March,Car,male,no,Injured
DUBLIN,November,Car,female,no,Injured
CORK,February,Car,female,yes,Injured
KERRY,August,Pedestrians,male,no,Injured
GALWAY,November,Cyclists,female,no,Injured
CORK,November,Motorbike,female,yes,Injured
LAOIS,April,Car,male,no,Injured
KERRY,May,Car,female,no,Injured
LIMERICK COUNTY,November,Pedestrians,male,no,Injured
CORK,December,Car,female,no,Injured
MEATH,June,Pedestrians,male,no,Injured
DUBLIN,December,Cyclists,male,no,Injured
KERRY,April,Car,male,no,Injured
MEATH,May,Car,male,no,Injured
CAVAN,January,Car,male,no,Injured
DUBLIN,February,Car,female,no,Injured
TIPPERARY,January,Car,male,yes,Injured
SLIGO,November,Car,female,yes,Injured
KERRY,June,Car,female,no,Injured
TIPPERARY,March,Car,female,no,Injured
WEXFORD,June,Car,male,yes,Injured
ROSCOMMON,March,Car,female,no,Injured
TIPPERARY,March,Cyclists,female,yes,Injured
CORK,August,Car,male,no,Injured
LIMERICK COUNTY,February,Car,male,no,Injured
LOUTH,March,Cyclists,female,no,Killed
KILKENNY,April,Car,male,yes,Injured
MONAGHAN,December,Car,male,no,Injured
CLARE,April,Pedestrians,male,no,Injured
MEATH,December,Pedestrians,male,yes,Injured
MAYO,December,Car,male,yes,Injured
DUBLIN,November,Car,female,yes,Injured
DUBLIN,March,Pedestrians,female,yes,Injured
LAOIS,August,Car,female,yes,Injured
DUBLIN,December,Car,male,no,Injured
MONAGHAN,May,Car,male,no,Injured
DUBLIN,December,Pedestrians,female,no,Injured
MEATH,May,Car,female,no,Injured
WICKLOW,April,Car,female,no,Injured
DUBLIN,October,Cyclists,female,yes,Injured
CORK,May,Pedestrians,female,no,Injured
WATERFORD,July,Cyclists,male,yes,Injured
KERRY,July,Pedestrians,female,yes,Injured
WICKLOW,July,Pedestrians,female,no,Injured
LEITRIM,July,Car,female,no,Injured
WICKLOW,August,Motorbike,female,no,Injured
KERRY,November,Car,male,no,Injured
KERRY,December,Car,male,yes,Injured
CORK,September,Car,female,no,Injured
DUBLIN,June,Car,male,yes,Injured
CAVAN,August,Cyclists,female,yes,Injured
CORK,April,Car,male,no,Injured
MAYO,November,Car,female,no,Injured
CLARE,December,Cyclists,male,no,Injured
DUBLIN,June,Pedestrians,male,no,Injured
TIPPERARY,October,Car,male,no,Injured
LOUTH,August,Pedestrians,female,no,Injured
LONGFORD,May,Cyclists,male,no,Injured
DONEGAL,November,Car,female,no,Injured
DUBLIN,March,Car,male,no,Injured
KILDARE,October,Car,female,no,Injured
WICKLOW,April,Car,male,no,Killed
DONEGAL,September,Pedestrians,female,no,Injured
DUBLIN,October,Car,male,no,Injured
DUBLIN,December,Motorbike,female,no,Injured
MEATH,July,Car,male,yes,Injured
DUBLIN,March,Cyclists,male,no,Injured
CLARE,December,Car,male,no,Injured
GALWAY,May,Car,female,yes,Injured
DONEGAL,April,Pedestrians,male,no,Injured
MONAGHAN,January,Cyclists,male,no,Injured
DUBLIN,January,Cyclists,male,no,Injured
CAVAN,August,Car,male,no,Injured
KILDARE,November,Car,male,no,Injured
SLIGO,October,Car,male,yes,Injured
DUBLIN,August,Car,male,yes,Injured
MEATH,October,Car,female,no,Injured
GALWAY,January,Pedestrians,female,yes,Killed
KERRY,August,Car,female,yes,Injured
WEXFORD,February,Motorbike,male,no,Injured
MONAGHAN,December,Car,male,yes,Injured
CLARE,April,Car,female,no,Injured
LOUTH,September,Car,female,yes,Injured
GALWAY,September,Pedestrians,male,no,Injured
WEXFORD,May,Car,male,yes,Injured
DUBLIN,November,Car,male,no,Injured
DUBLIN,January,Pedestrians,male,no,Injured
CORK,November,Car,female,no,Injured
DUBLIN,March,Cyclists,male,no,Injured
CORK,November,Car,male,no,Injured
LEITRIM,October,Car,female,no,Killed
MONAGHAN,September,Cyclists,male,no,Injured
LOUTH,October,Pedestrians,female,no,Injured
MEATH,December,Car,male,no,Injured
DUBLIN,May,Car,female,no,Injured
SLIGO,December,Car,male,no,Injured
DUBLIN,June,Motorbike,male,no,Injured
ROSCOMMON,September,Car,female,no,Injured
LAOIS,July,Car,female,yes,Injured
CORK,November,Pedestrians,male,yes,Injured
CORK,May,Car,male,yes,Injured
CAVAN,January,Car,male,no,Injured
CORK,December,Car,male,no,Injured
GALWAY,January,Car,female,no,Injured
CORK,August,Car,male,no,Injured
CAVAN,February,Car,female,no,Injured
MEATH,May,Car,female,no,Injured
DUBLIN,July,Cyclists,male,no,Injured
MAYO,November,Car,male,no,Injured
DUBLIN,February,Cyclists,female,yes,Injured
DUBLIN,January,Car,female,no,Injured
GALWAY,February,Pedestrians,male,no,Injured
GALWAY,November,Car,female,no,Injured
MONAGHAN,October,Car,female,no,Injured
DUBLIN,January,Cyclists,male,no,Injured
WATERFORD,February,Cyclists,female,no,Injured
CLARE,December,Car,male,no,Injured
MEATH,August,Pedestrians,female,no,Injured
CORK,December,Car,female,yes,Injured
LAOIS,April,Motorbike,female,no,Injured
CARLOW,May,Motorbike,female,yes,Injured
KERRY,May,Car,female,no,Injured
CARLOW,February,Cyclists,male,no,Injured
WEXFORD,April,Car,male,no,Injured
WATERFORD,March,Cyclists,female,yes,Injured
MONAGHAN,February,Pedestrians,male,yes,Injured
WESTMEATH,February,Car,female,no,Injured
CORK,May,Cyclists,male,yes,Injured
CORK,December,Car,male,yes,Injured
DONEGAL,September,Cyclists,female,no,Injured
LAOIS,July,Car,female,no,Injured
WATERFORD,August,Cyclists,male,no,Injured
WICKLOW,June,Car,female,no,Injured
LOUTH,December,Pedestrians,female,yes,Injured
MAYO,December,Car,female,no,Injured
WATERFORD,October,Pedestrians,female,no,Injured
DUBLIN,September,Car,female,yes,Injured
DUBLIN,May,Motorbike,male,yes,Injured
CORK,August,Car,male,no,Injured
CORK,January,Car,male,no,Injured
OFFALY,September,Car,female,no,Injured
CORK,October,Cyclists,male,no,Injured
DUBLIN,June,Cyclists,female,no,Injured
OFFALY,October,Car,male,no,Injured
DUBLIN,April,Pedestrians,male,no,Injured
WICKLOW,November,Car,male,no,Injured
DUBLIN,August,Car,male,yes,Injured
KERRY,August,Cyclists,female,yes,Injured
DUBLIN,October,Pedestrians,male,no,Injured
WATERFORD,January,Pedestrians,female,yes,Injured
DUBLIN,November,Car,female,yes,Injured
DUBLIN,August,Car,male,yes,Injured
GALWAY,September,Car,male,no,Injured
WEXFORD,May,Car,male,yes,Injured
CLARE,February,Car,female,no,Injured
LOUTH,February,Pedestrians,male,no,Injured
WATERFORD,February,Car,male,no,Injured
CAVAN,January,Car,male,yes,Injured
KERRY,December,Pedestrians,female,yes,Injured
DUBLIN,November,Cyclists,male,yes,Injured
TIPPERARY,February,Car,female,no,Injured
KILDARE,September,Car,female,no,Injured
LONGFORD,March,Car,male,yes,Injured
DUBLIN,May,Car,female,no,Injured
LAOIS,October,Cyclists,female,no,Injured
DUBLIN,July,Car,female,no,Injured
CARLOW,February,Car,male,yes,Injured
KILDARE,May,Car,male,no,Injured
DUBLIN,September,Car,male,yes,Injured
KERRY,November,Car,female,no,Injured
WESTMEATH,August,Pedestrians,male,no,Injured
DUBLIN,October,Car,male,no,Injured
DUBLIN,February,Motorbike,male,no,Injured
DUBLIN,February,Car,female,no,Injured
WESTMEATH,October,Cyclists,male,yes,Injured
WEXFORD,February,Car,female,yes,Injured
SLIGO,August,Car,male,yes,Injured
WESTMEATH,April,Car,female,yes,Injured
DUBLIN,October,Pedestrians,female,no,Injured
CORK,October,Pedestrians,female,no,Injured
DUBLIN,February,Car,female,yes,Injured
DUBLIN,July,Car,male,no,Injured
CORK,October,Car,female,no,Injured
KILKENNY,February,Cyclists,male,no,Injured
DUBLIN,April,Car,male,yes,Injured
OFFALY,September,Cyclists,male,yes,Injured
DONEGAL,March,Car,male,no,Injured
LOUTH,July,Car,male,no,Injured
DUBLIN,February,Car,female,no,Injured
KILDARE,May,Car,male,no,Injured
DUBLIN,May,Car,male,no,Injured
CLARE,November,Motorbike,female,yes,Injured
DUBLIN,February,Car,male,no,Injured
LIMERICK COUNTY,September,Car,male,no,Injured
GALWAY,December,Pedestrians,male,yes,Injured
KERRY,September,Car,male,no,Injured
CORK,September,Car,female,no,Killed
KILDARE,October,Car,male,yes,Injured
WICKLOW,December,Cyclists,male,no,Killed
OFFALY,December,Car,female,no,Injured
KILDARE,November,Pedestrians,male,no,Injured
WICKLOW,October,Cyclists,male,no,Injured
WATERFORD,April,Pedestrians,female,no,Injured
KILKENNY,January,Pedestrians,female,yes,Injured
CLARE,May,Pedestrians,male,yes,Injured
CORK,July,Car,male,no,Injured
CORK,August,Car,female,yes,Injured
DUBLIN,February,Pedestrians,female,yes,Injured
DUBLIN,November,Car,male,yes,Killed
WICKLOW,May,Car,female,no,Injured
CORK,November,Pedestrians,male,yes,Injured
WICKLOW,March,Car,male,no,Injured
MEATH,February,Car,male,yes,Injured
ROSCOMMON,August,Car,female,no,Injured
LAOIS,November,Pedestrians,female,no,Injured
LIMERICK COUNTY,February,Pedestrians,male,yes,Injured
GALWAY,March,Car,female,no,Injured
CARLOW,May,Car,female,yes,Injured
DUBLIN,August,Car,female,no,Injured
GALWAY,June,Car,female,no,Injured
MAYO,August,Car,male,no,Injured
GALWAY,February,Pedestrians,male,yes,Injured
GALWAY,January,Pedestrians,male,no,Injured
CORK,June,Car,male,no,Injured
CARLOW,June,Car,male,no,Injured
MEATH,April,Pedestrians,male,no,Injured
DUBLIN,November,Cyclists,female,no,Injured
WICKLOW,June,Cyclists,male,no,Injured
DUBLIN,May,Cyclists,male,yes,Injured
DUBLIN,November,Motorbike,male,yes,Injured
KERRY,March,Pedestrians,male,no,Injured
MEATH,February,Car,male,no,Injured
GALWAY,January,Motorbike,female,no,Injured
CORK,November,Cyclists,female,no,Injured
DUBLIN,October,Motorbike,male,yes,Injured
GALWAY,April,Car,male,yes,Injured
LIMERICK COUNTY,August,Car,female,yes,Injured
MEATH,June,Motorbike,female,no,Injured
CORK,October,Car,female,no,Injured
CAVAN,January,Car,male,yes,Injured
KERRY,July,Car,female,no,Injured
OFFALY,August,Pedestrians,male,no,Injured
CARLOW,June,Car,female,no,Injured
LIMERICK COUNTY,May,Car,female,no,Injured
LONGFORD,September,Car,male,no,Injured
DUBLIN,July,Car,male,yes,Injured
WATERFORD,September,Pedestrians,male,yes,Injured
LIMERICK COUNTY,January,Car,male,yes,Injured
CARLOW,September,Pedestrians,female,yes,Injured
GALWAY,June,Car,male,no,Injured
TIPPERARY,February,Cyclists,female,yes,Injured
ROSCOMMON,January,Car,female,no,Injured
LIMERICK COUNTY,September,Car,male,no,Injured
LIMERICK COUNTY,June,Motorbike,female,no,Injured
KILDARE,June,Car,male,yes,Injured
DUBLIN,January,Pedestrians,female,yes,Injured
KILDARE,November,Car,male,yes,Injured
LIMERICK COUNTY,June,Car,male,yes,Injured
DUBLIN,November,Pedestrians,male,no,Injured
TIPPERARY,March,Car,male,no,Injured
DONEGAL,July,Car,male,no,Injured
MAYO,May,Car,male,no,Injured
DUBLIN,January,Cyclists,female,no,Injured
MEATH,October,Car,male,yes,Injured
DUBLIN,February,Car,female,no,Injured
OFFALY,August,Car,female,no,Injured
DUBLIN,July,Car,female,yes,Injured
DUBLIN,August,Car,male,no,Injured
MEATH,November,Car,male,no,Injured
DUBLIN,November,Car,male,yes,Injured
MAYO,August,Car,female,yes,Injured
MAYO,October,Cyclists,female,no,Injured
DUBLIN,April,Car,female,yes,Killed
DUBLIN,March,Car,male,yes,Injured
DONEGAL,December,Car,female,yes,Injured
CORK,January,Car,male,no,Injured
DUBLIN,November,Car,male,no,Injured
CAVAN,May,Car,female,yes,Injured
CORK,June,Pedestrians,female,no,Injured
LIMERICK COUNTY,April,Motorbike,male,no,Injured
MONAGHAN,May,Car,female,no,Injured
CORK,December,Pedestrians,male,no,Injured
DUBLIN,September,Car,male,no,Injured
DONEGAL,July,Car,female,no,Injured
WESTMEATH,March,Car,female,yes,Killed
LOUTH,February,Pedestrians,female,yes,Injured
KILDARE,January,Car,male,no,Injured
DUBLIN,March,Car,male,no,Injured
ROSCOMMON,December,Motorbike,female,no,Injured
DUBLIN,September,Pedestrians,male,yes,Injured
WESTMEATH,April,Pedestrians,male,yes,Injured
LOUTH,September,Pedestrians,female,yes,Injured
GALWAY,June,Motorbike,female,yes,Injured
CORK,September,Car,female,no,Injured
WICKLOW,March,Car,female,yes,Injured
CORK,October,Car,female,yes,Killed
DONEGAL,March,Car,male,yes,Injured
DUBLIN,December,Cyclists,female,no,Injured
DUBLIN,December,Cyclists,female,no,Injured
CORK,October,Car,female,yes,Injured
MAYO,February,Motorbike,male,no,Injured
DONEGAL,July,Motorbike,male,no,Injured
LIMERICK COUNTY,June,Car,female,no,Injured
MEATH,April,Pedestrians,female,yes,Injured
DONEGAL,December,Car,male,no,Injured
KILKENNY,October,Car,male,no,Injured
MEATH,October,Cyclists,female,no,Injured
LEITRIM,January,Cyclists,female,yes,Injured
KILKENNY,October,Motorbike,male,yes,Killed
DUBLIN,February,Pedestrians,male,yes,Injured
MAYO,September,Motorbike,female,no,Injured
WEXFORD,August,Car,female,yes,Injured
DUBLIN,September,Pedestrians,male,no,Injured
MEATH,March,Pedestrians,female,yes,Injured
CLARE,March,Car,male,no,Injured
ROSCOMMON,February,Pedestrians,male,no,Injured
DONEGAL,February,Car,male,yes,Injured
DUBLIN,December,Car,female,no,Injured
DUBLIN,May,Car,male,no,Injured
CORK,March,Motorbike,female,yes,Injured
WATERFORD,February,Motorbike,male,no,Injured
DUBLIN,January,Pedestrians,male,no,Injured
KERRY,June,Cyclists,male,no,Injured
GALWAY,May,Car,female,no,Killed
CORK,November,Car,male,no,Injured
DONEGAL,October,Car,male,yes,Injured
CORK,March,Cyclists,female,yes,Injured
GALWAY,January,Car,male,no,Injured
DUBLIN,March,Pedestrians,male,yes,Injured
DUBLIN,September,Car,female,yes,Injured
CORK,June,Cyclists,female,no,Injured
MEATH,May,Pedestrians,female,no,Injured
CORK,May,Pedestrians,female,yes,Injured
WICKLOW,July,Pedestrians,female,no,Injured
DONEGAL,March,Car,male,no,Killed
KILDARE,April,Car,male,no,Injured
CLARE,November,Motorbike,male,no,Injured
MEATH,July,Car,male,no,Injured
DONEGAL,February,Pedestrians,female,no,Injured
KERRY,February,Motorbike,male,no,Injured
